EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
02719588;n;tiroyAq;0.0;0.125;100.0;0.00807393;0.02237033;0.00000000;0.14958700;0.06757521;0.65676854
00088725;n;hAjis;0.06591796875;0.060546875;50.0;0.10556916;0.12719864;0.08753424;0.10773664;0.09239893;0.21414904
05042138;n;gadan;0.34375;0.09375;100.0;0.03962963;0.00667122;0.40223194;0.17760381;0.21602797;0.08221961
03889626;n;dirowap;0.0;0.125;50.0;0.00000000;0.00000000;0.00000000;0.13303629;0.00000000;0.20851070
04644719;n;taHam~us;0.1875;0.0625;100.0;0.07601099;0.09115043;0.13471121;0.08332679;0.04825982;0.38746257
07251779;n;SurAx;0.0625;0.125;50.0;0.05484849;0.05537354;0.04860699;0.23515058;0.06197232;0.30364486
13751265;n;ribowap;0;0;100;0.03279670;0.17387678;0.06492816;0.07301942;0.08849939;0.11702285
07314838;n;$u&om;0.0;0.5;75.0;0.08411759;0.04838360;0.19336865;0.12675617;0.15656762;0.16233198
10332385;n;wAlid;0.0;0.0;100.0;0.06902895;0.11358852;0.02412696;0.07133480;0.11537555;0.34346736
09712696;n;malAyuwiy~;0;0;100;0.11086920;0.15784297;0.04904242;0.08365909;0.03332774;0.06523245
01093085;n;tagoyiyrap;0.0;0.0;100.0;0.05757412;0.08699174;0.14508532;0.22944406;0.11648502;0.11961653
09852179;n;bAy;0.0;0.0;100.0;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000
07447641;n;Hafol;0.3125;0.03125;51.171875;0.07688485;0.09284853;0.07406067;0.17185540;0.10508875;0.20521161
08898633;n;qAhirap;0.0;0.0;100.0;0.11119723;0.08673771;0.30713273;0.08097621;0.22144428;0.04010723
03068707;n;talobiyb;0.0;0.00048828125;100.0;0.07582191;0.09754005;0.01968675;0.15780162;0.22837673;0.15038674
07693972;n;bisokuwt;0.0;0.0;100.0;0.08548169;0.08377986;0.04347865;0.15996626;0.19679257;0.19498355
07517550;n;gay~;0.0244140625;0.02734375;50.0;0.16542634;0.17509760;0.10629707;0.13003507;0.10725890;0.07953924
10105085;n;muzay~if;0;0;100;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
00135148;n;SaH~Arap;0.25;0.0625;50.0;0.11778570;0.10040655;0.08964208;0.15020022;0.09353668;0.16239966
00758175;n;naEorap;0.2958984375;0.169921875;33.0;0.06316696;0.08386914;0.04294063;0.11430973;0.04993986;0.21192613
09804658;n;>aro$iyduwq;0;0;100;0.00000000;0.00000000;0.00000000;0.19227539;0.00000000;0.22930080
00511555;n;marofaE;0.09375;0.1875;50.0;0.13538284;0.27927110;0.02163307;0.12109639;0.03457599;0.13417762
01321456;n;bAlig;0.00390625;0.0087890625;84.765625;0.04014456;0.05670591;0.07336739;0.15896376;0.09618138;0.09490710
14460565;n;EafAf;0.421875;0.09375;50.0;0.11400673;0.17135503;0.06429182;0.13802056;0.06439537;0.20994989
07812184;n;bahAr;0.0;0.0;100.0;0.01121774;0.06110495;0.00031745;0.28133250;0.04405873;0.16598007
07357101;n;taroyiyH;0.0222320556640625;0.0;33.0;0.18100854;0.10500691;0.09802291;0.16498109;0.11911788;0.13415063
03313333;n;jabiyniy~;0.0;0.0625;100.0;0.02370706;0.01461501;0.06995964;0.08240532;0.54883908;0.06496076
13978033;n;HAdiv;0.0;0.246337890625;50.1953125;0.07706270;0.10334288;0.08782572;0.12932509;0.19027941;0.15820606
10638922;n;riyADap;0.033203125;0.283203125;57.8125;0.05895339;0.09956041;0.05499858;0.17318783;0.09689583;0.22022015
00057306;n;taxAruj;0.0;0.0;50.0;0.21857373;0.06889415;0.23466192;0.09637771;0.18399103;0.06526943
08946187;n;gAnap;0;0;100;0.05919618;0.03147636;0.14603833;0.09256127;0.17000947;0.27837766
07230959;n;tanomiyr;0.03125;0.0;50.0;0.12190732;0.28714819;0.07055111;0.13691029;0.08692778;0.05968509
11502102;n;haton;0;0;67;0.04982857;0.04536267;0.18727785;0.11844145;0.45282786;0.03324420
01604330;n;jAriH;0;0.125;100;0.08711956;0.03472064;0.15188037;0.11509016;0.08140590;0.24612471
05442131;n;Sibogiy~ap;0;0;100;0.09584689;0.07562199;0.00569389;0.02356551;0.01208096;0.60646686
00748515;n;$Arib;0.0;0.0;100.0;0.09519073;0.09860586;0.09115329;0.08292980;0.12454758;0.11723298
03502331;n;buroquE;0.0;0.0;100.0;0.26879198;0.16961843;0.02227443;0.15270832;0.04998073;0.20223215
03595860;n;naf~Av;0.0;0.0234375;50.0;0.06419066;0.08746055;0.14186655;0.14844349;0.14089003;0.11178067
09248153;n;$ATi};0.0;0.0;34.5703125;0.10577737;0.06363632;0.22516799;0.10603034;0.18933125;0.15703588
12288823;n;jil~awz;0.0;0.0;100.0;0.04169609;0.01051904;0.29075112;0.11239235;0.04862349;0.20118563
10419472;n;muta$A}im;0;0.25;100;0.01180599;0.03612707;0.00000000;0.06875856;0.11547004;0.07019450
07140978;n;munAqa$ap;0.0;0.0;100.0;0.14465222;0.12896565;0.08273702;0.12512376;0.09105357;0.16508669
05610008;n;riymap;0;0;100;0.78551045;0.01830704;0.00000000;0.05105860;0.14512390;0.00000000
08585056;n;muqad~as;0;0;50;0.12228579;0.01160595;0.00477952;0.23510464;0.00187761;0.56626361
13391452;n;>ad~Am;0.0;0.0;100.0;0.09905528;0.37538234;0.00000000;0.17301246;0.00000000;0.00000000
00512522;n;tagan~uj;0.625;0;50;0.00571305;0.15911876;0.00482296;0.06779203;0.12166894;0.25628616
07522729;n;Hi$omap;0.15625;0.25;50.0;0.02947595;0.15320034;0.00000000;0.01439037;0.00000000;0.25977645
11545714;n;xino$Ar;0;0;100;0.00000000;0.00666576;0.56296092;0.15008167;0.00452922;0.26557423
03617095;n;kuw$ap;0;0;100;0.00000000;0.13300338;0.00000000;0.10902383;0.30987850;0.08565202
00631378;n;muzAwalap;0.19580078125;0.00390625;50.0;0.13767175;0.13166597;0.09517154;0.12910693;0.08964965;0.19690294
11524324;n;mirozAb;0.0;0.0;33.0;0.10578605;0.14144779;0.08193406;0.31829210;0.19811219;0.01454434
13274597;n;{isotinozAl;0.0;0.0;100.0;0.15128340;0.09033392;0.10064686;0.17205003;0.07202097;0.09575984
10966496;n;zAriE;0.0;0.0;50.0;0.12789801;0.12361721;0.08742581;0.19592323;0.12391696;0.17978999
06083243;n;zuwluwjiyA;0.0;0.0;100.0;0.18989344;0.06736092;0.00420339;0.33007029;0.03101752;0.07855941
08113443;n;kahanuwtiy~ap;0;0;100;0.15756080;0.13489459;0.02859423;0.05598463;0.10293007;0.17426325
09437454;n;munoHadar;0.0;0.0;100.0;0.04050297;0.09693974;0.24259237;0.06195469;0.23733860;0.19948196
08771596;n;bAfAriyA;0;0;100;0.00000000;0.00000000;0.09064170;0.09434224;0.17126662;0.13943534
08792548;n;<isorA}iyl;0.0;0.0;100.0;0.09963473;0.14366472;0.12465045;0.12866769;0.19406486;0.03394722
06756407;n;<ifok;0.015625;0.0;50.0;0.17579727;0.15635162;0.11474131;0.16523770;0.09723086;0.09913756
05269901;n;EaZomiy~;0.0;0.03125;33.0;0.13350549;0.08522246;0.08925018;0.10683989;0.15874373;0.17093202
02749953;n;munotadaY;0.00390625;0.0;33.0;0.10213734;0.10719898;0.17626081;0.12258378;0.10928886;0.13723113
02879309;n;buwtiyk;0;0;100;0.02507010;0.06658284;0.09094468;0.19287813;0.07313303;0.18064037
01217859;n;{isotixodAm;0.0;0.0;83.5;0.10842393;0.09288022;0.10436556;0.15812253;0.11792498;0.17145269
10112591;n;SAHib;0.007965087890625;0.0;53.173828125;0.20093362;0.08089020;0.05594485;0.14289081;0.13194868;0.17924959
09941964;n;kuwmAnoduwr;0.0;0.0;100.0;0.21580559;0.08158081;0.17333117;0.10816107;0.20342594;0.07507680
00748307;n;*awob;0.0006103515625;0.000244140625;33.0;0.12648870;0.11804621;0.14646681;0.14271270;0.10542233;0.15418045
13658828;n;sm;0;0;100;0.05838679;0.05715212;0.28025272;0.07226492;0.11832798;0.06246604
06172789;n;lisAniy~At;0.0;0.0;100.0;0.00000000;0.12155674;0.00000000;0.22014881;0.06961117;0.45614116
12853287;n;barodaquw$;0.0;0.0;100.0;0.00091905;0.04591126;0.00000000;0.17035396;0.00000000;0.69958335
14854262;n;xarA';0;0;100;0.13271622;0.03978538;0.21961680;0.12238131;0.15231966;0.06126442
11506167;n;ra*A*;0.0;0.0;50.0;0.22369875;0.14107015;0.01539880;0.23038779;0.01363888;0.20512021
02860640;n;qaboDap;0.0009765625;0.015625;74.875;0.11218481;0.13055305;0.09304194;0.11805164;0.12390059;0.16130990
15188154;n;basoxap;0.0;0.0625;50.0;0.12516731;0.16463180;0.03919957;0.10572037;0.13007033;0.14592728
03594734;n;jAn;0.0;0.0;50.0;0.08871696;0.06817698;0.12220519;0.14474592;0.07111584;0.10968599
01049685;n;livAm;0.0;0.001953125;50.0;0.11208190;0.10829289;0.07683031;0.11175884;0.07236108;0.13721157
10401829;n;jaliys;0.0;0.0;33.0;0.13488570;0.06984809;0.08627780;0.11521043;0.14620954;0.09009083
00028651;n;lAnihA}iy~;0;0;100;0.06930495;0.09396971;0.13599936;0.11220139;0.05384635;0.19543755
00939452;n;mu&al~af;0.0;0.0;50.0;0.10774922;0.13158803;0.05751827;0.13354672;0.08741302;0.22397229
09036452;n;tAyolanod;0;0;100;0.08207841;0.08909791;0.12910197;0.19010518;0.12252558;0.11118997
10502950;n;EunoSuriy~;0;0;100;0.00000000;0.00951457;0.00000000;0.26522402;0.00000000;0.64476922
10553805;n;munoqi*;0;0.25;100;0.08193729;0.07505214;0.08245595;0.11387357;0.26299641;0.15176418
00796315;n;muTaw~iHap;0.25;0;100;0.04421515;0.04958710;0.11694887;0.22653463;0.04505625;0.29121230
04928903;n;watiyrap;0;0;50;0.07904756;0.10558991;0.07807052;0.13639665;0.08288701;0.15417051
15143477;n;zawAl;0.0;0.009765625;52.34375;0.17738952;0.05774150;0.09721327;0.10518151;0.13792016;0.08445611
13498828;n;nuf~Ax;0.0625;0.1875;50.0;0.08698308;0.05824256;0.07776382;0.16749800;0.12675557;0.11975587
13749894;n;saboEuwn;0;0;50;0.06076095;0.05902263;0.14387777;0.11708054;0.12908840;0.14086499
09699642;n;danimArokiy~;0;0;50;0.00401765;0.00000000;0.03079418;0.12267460;0.09478423;0.42091752
13704643;n;ruwbiy~ap;0.0;0.0;100.0;0.10673631;0.09103343;0.27385123;0.12582109;0.16210051;0.07843314
07307477;n;waqiyEap;0.0;0.0625;50.0;0.16188991;0.12755360;0.13435081;0.10866627;0.13155819;0.10987377
13836715;n;hawotap;6.103515625e-05;0.07147216796875;33.0;0.05175247;0.03715710;0.13932200;0.08189894;0.10311793;0.05513711
01608432;n;HidAyap;0.0;0.109375;100.0;0.02440044;0.00218811;0.00000000;0.16415229;0.00350680;0.31323333
